Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,_Ast,_xAG,_xA,_A-xAG,_KP,_1/3,_PPA,_CrsPA,_PrgP,_Matches,Season,Squad
Maxime Le Marchand,fr FRA,DF,30.0,1.4,78,85,91.8,1682,740,22,25,88.0,43,43,100.0,13,17,76.5,0,0.0,0.1,0.0,0,4,1,0,8,Matches,2020-2021,Fulham
Neeskens Kebano,cd COD,"FW,MF",28.0,1.3,32,43,74.4,373,90,25,25,100.0,6,15,40.0,0,0,,0,0.0,0.0,0.0,1,2,0,0,1,Matches,2020-2021,Fulham
Terence Kongolo,nl NED,DF,26.0,1.0,37,45,82.2,610,219,19,22,86.4,18,21,85.7,0,0,,0,0.0,0.0,0.0,0,2,1,1,3,Matches,2020-2021,Fulham
Tyrese Francois,au AUS,DF,20.0,0.2,14,15,93.3,251,101,6,7,85.7,7,7,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches,2020-2021,Fulham
Squad Total,,,25.2,38.0,15401,19512,78.9,270640,94395,6853,7837,87.4,6528,7611,85.8,1529,2866,53.3,18,26.3,25.3,-8.3,334,1019,290,94,1354,,2020-2021,Fulham
Opponent Total,,,26.6,38.0,15762,20041,78.6,280391,92136,6859,7867,87.2,6751,7825,86.3,1645,3103,53.0,34,37.4,33.9,-3.4,302,1150,268,82,1327,,2020-2021,Fulham
Aaron Ramsdale,eng ENG,GK,22.0,38.0,569,1153,49.3,22218,19232,71,73,97.3,176,179,98.3,318,889,35.8,0,0.1,0.1,-0.1,2,44,1,0,0,Matches,2020-2021,Sheffield United
George Baldock,gr GRE,DF,27.0,31.0,888,1153,77.0,11908,3743,582,647,90.0,229,305,75.1,36,98,36.7,2,2.9,1.8,-0.9,18,47,23,7,75,Matches,2020-2021,Sheffield United
Chris Basham,eng ENG,"DF,MF",32.0,28.6,939,1153,81.4,14844,4412,493,557,88.5,364,426,85.4,62,116,53.4,1,0.9,0.9,0.1,11,50,14,6,82,Matches,2020-2021,Sheffield United
Enda Stevens,ie IRL,DF,30.0,30.0,1108,1459,75.9,16993,7282,627,703,89.2,375,482,77.8,77,186,41.4,1,1.6,1.7,-0.6,17,88,33,10,124,Matches,2020-2021,Sheffield United
John Egan,ie IRL,DF,27.0,29.2,923,1135,81.3,18683,6732,300,345,87.0,499,557,89.6,116,208,55.8,1,0.6,0.6,0.4,3,67,3,1,60,Matches,2020-2021,Sheffield United
John Fleck,sct SCO,MF,28.0,28.6,971,1245,78.0,14229,4533,540,593,91.1,296,364,81.3,70,172,40.7,2,2.9,2.3,-0.9,33,110,22,5,151,Matches,2020-2021,Sheffield United
David McGoldrick,ie IRL,"FW,MF",32.0,26.6,697,947,73.6,9806,1823,397,485,81.9,210,280,75.0,37,62,59.7,1,1.1,1.5,-0.1,17,49,21,4,94,Matches,2020-2021,Sheffield United
