Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,_Ast,_xAG,_xA,_A-xAG,_KP,_1/3,_PPA,_CrsPA,_PrgP,_Matches,Season,Squad
Adam Smith,eng ENG,DF,28.0,22.8,827,1044,79.2,11632,4435,522,574,90.9,247,310,79.7,36,93,38.7,1,1.1,0.6,-0.1,10,60,7,3,93,Matches,2019-2020,Bournemouth
Joshua King,no NOR,"FW,MF",27.0,22.3,369,524,70.4,4923,1128,228,281,81.1,95,141,67.4,17,26,65.4,4,4.1,2.2,-0.1,30,21,18,4,46,Matches,2019-2020,Bournemouth
Ryan Fraser,sct SCO,"MF,FW",25.0,23.0,658,964,68.3,9972,3561,373,438,85.2,210,296,70.9,55,157,35.0,4,3.9,3.6,0.1,44,62,39,8,100,Matches,2019-2020,Bournemouth
Harry Wilson,wls WAL,"MF,FW",22.0,18.3,452,624,72.4,7801,1765,245,287,85.4,136,182,74.7,59,99,59.6,0,2.4,2.6,-2.4,14,42,22,1,66,Matches,2019-2020,Bournemouth
Dominic Solanke,eng ENG,FW,21.0,18.3,301,439,68.6,3698,828,202,256,78.9,60,92,65.2,13,21,61.9,1,1.2,0.9,-0.2,15,26,7,1,35,Matches,2019-2020,Bournemouth
Jack Stacey,eng ENG,DF,23.0,17.2,562,785,71.6,8009,3482,362,408,88.7,161,238,67.6,27,77,35.1,2,2.2,1.7,-0.2,10,50,6,1,50,Matches,2019-2020,Bournemouth
Lewis Cook,eng ENG,"MF,FW",22.0,15.0,572,739,77.4,10075,3152,274,321,85.4,219,261,83.9,70,109,64.2,0,0.5,0.9,-0.5,11,66,10,1,80,Matches,2019-2020,Bournemouth
Dan Gosling,eng ENG,MF,29.0,14.0,407,527,77.2,5848,1762,244,285,85.6,114,140,81.4,27,43,62.8,1,1.1,0.9,-0.1,10,40,5,2,55,Matches,2019-2020,Bournemouth
Simon Francis,eng ENG,DF,34.0,10.8,426,567,75.1,7646,2996,201,230,87.4,183,224,81.7,41,98,41.8,0,0.2,0.4,-0.2,4,26,3,2,26,Matches,2019-2020,Bournemouth
Chris Mepham,wls WAL,DF,21.0,10.1,434,505,85.9,8003,2922,161,173,93.1,236,261,90.4,30,53,56.6,0,0.1,0.1,-0.1,1,14,0,0,28,Matches,2019-2020,Bournemouth
David Brooks,wls WAL,"MF,FW",22.0,5.6,121,180,67.2,1700,574,68,86,79.1,34,45,75.6,9,26,34.6,0,0.3,0.7,-0.3,6,10,10,5,17,Matches,2019-2020,Bournemouth
Junior Stanislas,eng ENG,"MF,FW",29.0,7.9,214,306,69.9,3087,1102,122,144,84.7,60,91,65.9,16,39,41.0,0,0.8,1.1,-0.8,12,15,7,2,26,Matches,2019-2020,Bournemouth
Lloyd Kelly,eng ENG,DF,20.0,7.1,178,241,73.9,3484,1346,57,68,83.8,96,117,82.1,21,44,47.7,0,0.3,0.2,-0.3,2,8,0,0,9,Matches,2019-2020,Bournemouth
Arnaut Danjuma,nl NED,MF,22.0,7.0,183,233,78.5,2768,574,99,118,83.9,66,79,83.5,12,19,63.2,0,0.2,0.3,-0.2,5,11,4,1,21,Matches,2019-2020,Bournemouth
Andrew Surman,eng ENG,MF,32.0,2.6,105,130,80.8,1812,472,49,60,81.7,40,48,83.3,11,16,68.8,0,0.0,0.1,0.0,1,6,1,0,5,Matches,2019-2020,Bournemouth
Charlie Daniels,eng ENG,DF,32.0,1.4,36,50,72.0,638,293,20,20,100.0,8,11,72.7,6,15,40.0,0,0.1,0.0,-0.1,2,3,1,1,2,Matches,2019-2020,Bournemouth
Jack Simpson,eng ENG,DF,22.0,2.7,75,107,70.1,1186,448,40,49,81.6,30,39,76.9,4,13,30.8,0,0.1,0.0,-0.1,1,5,0,0,5,Matches,2019-2020,Bournemouth
Mark Travers,ie IRL,GK,20.0,1.0,20,30,66.7,449,301,7,7,100.0,9,10,90.0,4,13,30.8,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2019-2020,Bournemouth
Jordon Ibe,eng ENG,DF,23.0,0.6,17,22,77.3,239,74,11,11,100.0,4,7,57.1,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,2,Matches,2019-2020,Bournemouth
Sam Surridge,eng ENG,"FW,MF",21.0,0.3,5,11,45.5,72,21,2,6,33.3,3,4,75.0,0,0,,0,0.1,0.0,-0.1,1,1,1,0,2,Matches,2019-2020,Bournemouth
Squad Total,,,25.2,38.0,12042,16387,73.5,208869,82509,5798,6832,84.9,4689,5821,80.6,1231,2655,46.4,24,30.6,25.7,-6.6,280,921,227,49,1256,,2019-2020,Bournemouth
Opponent Total,,,26.8,38.0,16667,21185,78.7,294977,98427,7405,8464,87.5,7039,8266,85.2,1705,3186,53.5,45,42.6,36.9,2.4,415,1241,366,86,1670,,2019-2020,Bournemouth
Max Aarons,eng ENG,DF,19.0,36.0,1332,1711,77.8,17879,5691,880,982,89.6,351,469,74.8,49,121,40.5,1,3.9,2.8,-2.9,23,55,28,12,78,Matches,2019-2020,Norwich City
Tim Krul,nl NED,GK,31.0,36.0,1084,1583,68.5,29495,20355,168,170,98.8,564,578,97.6,352,828,42.5,0,0.0,0.0,0.0,0,5,0,0,1,Matches,2019-2020,Norwich City
Teemu Pukki,fi FIN,FW,29.0,32.1,424,539,78.7,5017,546,278,318,87.4,105,134,78.4,4,10,40.0,3,3.8,2.8,-0.8,30,11,4,0,22,Matches,2019-2020,Norwich City
Kenny McLean,sct SCO,MF,27.0,33.0,1362,1760,77.4,21339,7602,736,850,86.6,443,542,81.7,117,228,51.3,1,2.6,2.1,-1.6,24,158,16,3,173,Matches,2019-2020,Norwich City
Ben Godfrey,eng ENG,DF,21.0,29.4,1470,1675,87.8,27514,8885,577,614,94.0,726,786,92.4,151,234,64.5,0,0.1,0.5,-0.1,3,64,2,0,76,Matches,2019-2020,Norwich City
Todd Cantwell,eng ENG,"FW,MF",21.0,27.7,886,1110,79.8,11726,2625,560,627,89.3,206,263,78.3,45,84,53.6,2,1.9,1.1,0.1,35,76,21,0,99,Matches,2019-2020,Norwich City
Emi Buendía,ar ARG,"FW,MF",22.0,27.4,1188,1604,74.1,18941,6656,662,772,85.8,307,401,76.6,154,284,54.2,7,6.8,6.2,0.2,83,155,56,4,194,Matches,2019-2020,Norwich City
Alexander Tettey,no NOR,"MF,DF",33.0,26.0,1142,1299,87.9,17374,4412,603,658,91.6,439,476,92.2,58,94,61.7,1,0.5,0.6,0.5,5,63,4,1,54,Matches,2019-2020,Norwich City
Jamal Lewis,nir NIR,DF,21.0,25.6,1052,1333,78.9,15449,5416,614,701,87.6,369,442,83.5,44,104,42.3,0,1.0,1.2,-1.0,15,51,20,7,74,Matches,2019-2020,Norwich City
Christoph Zimmermann,de GER,DF,26.0,15.9,525,664,79.1,10202,4094,187,204,91.7,263,297,88.6,66,137,48.2,1,0.1,0.1,0.9,2,25,1,0,33,Matches,2019-2020,Norwich City
Sam Byram,eng ENG,DF,25.0,14.4,609,771,79.0,8069,2654,398,446,89.2,167,218,76.6,20,54,37.0,0,0.4,0.6,-0.4,6,24,3,1,41,Matches,2019-2020,Norwich City
Onel Hernández,cu CUB,"FW,MF",26.0,15.4,247,345,71.6,2999,553,158,188,84.0,69,94,73.4,1,14,7.1,2,0.9,1.0,1.1,19,6,10,1,22,Matches,2019-2020,Norwich City
Grant Hanley,sct SCO,DF,27.0,14.0,545,661,82.5,10121,3168,210,228,92.1,272,305,89.2,54,106,50.9,0,0.0,0.0,0.0,0,18,0,0,17,Matches,2019-2020,Norwich City
Marco Stiepermann,de GER,MF,28.0,13.1,290,413,70.2,3532,1115,185,233,79.4,62,87,71.3,13,27,48.1,0,0.8,0.9,-0.8,12,34,8,0,46,Matches,2019-2020,Norwich City
Tom Trybull,de GER,MF,26.0,12.6,566,615,92.0,8879,2697,313,329,95.1,196,213,92.0,42,46,91.3,0,0.1,0.1,-0.1,3,34,0,0,33,Matches,2019-2020,Norwich City
Ondrej Duda,sk SVK,MF,24.0,8.0,295,382,77.2,4158,1077,177,204,86.8,62,80,77.5,27,54,50.0,0,1.5,1.3,-1.5,16,15,9,2,25,Matches,2019-2020,Norwich City
Ibrahim Amadou,fr FRA,"DF,MF",26.0,8.4,324,374,86.6,5896,1826,127,143,88.8,156,174,89.7,36,47,76.6,0,0.0,0.0,0.0,1,10,1,0,13,Matches,2019-2020,Norwich City
Lukas Rupp,de GER,"FW,MF",28.0,7.7,205,272,75.4,2596,643,132,154,85.7,49,68,72.1,8,17,47.1,0,0.9,0.5,-0.9,8,11,3,0,18,Matches,2019-2020,Norwich City
Moritz Leitner,de GER,MF,26.0,7.6,498,579,86.0,7179,1732,293,314,93.3,143,161,88.8,31,52,59.6,0,0.3,0.5,-0.3,7,39,15,1,62,Matches,2019-2020,Norwich City
Timm Klose,ch SUI,DF,31.0,6.5,336,399,84.2,6321,1941,116,137,84.7,185,198,93.4,29,51,56.9,0,0.0,0.0,0.0,0,9,1,0,17,Matches,2019-2020,Norwich City
Mario Vrančić,ba BIH,MF,30.0,7.1,356,463,76.9,5530,1826,188,212,88.7,125,157,79.6,23,59,39.0,0,0.9,1.2,-0.9,7,44,7,0,62,Matches,2019-2020,Norwich City
Josip Drmić,ch SUI,FW,26.0,7.2,125,165,75.8,1474,163,81,98,82.7,26,33,78.8,3,10,30.0,0,1.1,0.2,-1.1,4,2,1,0,4,Matches,2019-2020,Norwich City
Adam Idah,ie IRL,"FW,MF",18.0,2.5,36,49,73.5,385,61,27,30,90.0,5,7,71.4,1,2,50.0,0,0.0,0.1,0.0,1,2,0,0,2,Matches,2019-2020,Norwich City
Michael McGovern,nir NIR,GK,35.0,1.8,30,51,58.8,610,437,14,14,100.0,8,8,100.0,6,27,22.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2019-2020,Norwich City
Ralf Fährmann,de GER,GK,30.0,0.2,7,10,70.0,94,38,6,6,100.0,1,2,50.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2019-2020,Norwich City
Dennis Srbeny,de GER,"MF,FW",25.0,0.5,13,18,72.2,134,12,12,16,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches,2019-2020,Norwich City
Josh Martin,eng ENG,"FW,MF",17.0,0.4,12,15,80.0,163,28,11,11,100.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches,2019-2020,Norwich City
Patrick Roberts,eng ENG,"FW,MF",22.0,0.3,6,9,66.7,100,29,4,5,80.0,1,1,100.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,2,Matches,2019-2020,Norwich City
Akin Famewo,eng ENG,MF,20.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2019-2020,Norwich City
Jordan Thomas,eng ENG,FW,18.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2019-2020,Norwich City
Squad Total,,,26.0,38.0,14965,18869,79.3,243176,86282,7717,8664,89.1,5301,6196,85.6,1336,2696,49.6,18,27.4,23.6,-9.4,304,913,210,32,1169,,2019-2020,Norwich City
Opponent Total,,,26.5,38.0,15431,19565,78.9,273323,96267,6951,7961,87.3,6154,7294,84.4,1749,3018,58.0,50,46.6,42.9,3.4,449,1322,424,103,1793,,2019-2020,Norwich City
Ben Foster,eng ENG,GK,36.0,38.0,552,1221,45.2,22850,20464,44,46,95.7,147,152,96.7,361,1009,35.8,0,0.0,0.1,0.0,1,30,1,0,0,Matches,2019-2020,Watford
Abdoulaye Doucouré,ml MLI,MF,26.0,35.1,1320,1712,77.1,19007,4672,714,862,82.8,456,548,83.2,61,101,60.4,2,3.9,2.8,-1.9,38,120,27,2,161,Matches,2019-2020,Watford
Étienne Capoue,fr FRA,MF,31.0,29.2,1180,1465,80.5,21643,6104,536,612,87.6,453,520,87.1,154,249,61.8,3,3.3,2.7,-0.3,20,117,10,1,132,Matches,2019-2020,Watford
Craig Cathcart,nir NIR,DF,30.0,27.6,742,922,80.5,13808,4884,277,314,88.2,364,421,86.5,79,146,54.1,0,0.1,0.1,-0.1,2,33,3,1,61,Matches,2019-2020,Watford
Will Hughes,eng ENG,MF,24.0,25.0,679,916,74.1,9200,3365,414,479,86.4,182,246,74.0,34,88,38.6,1,2.1,2.6,-1.1,25,69,23,2,87,Matches,2019-2020,Watford
Craig Dawson,eng ENG,DF,29.0,26.2,741,962,77.0,15418,5835,235,276,85.1,376,433,86.8,118,216,54.6,0,0.5,0.4,-0.5,5,51,2,0,63,Matches,2019-2020,Watford
Christian Kabasele,be BEL,DF,28.0,25.0,488,671,72.7,9649,4109,175,219,79.9,227,279,81.4,74,150,49.3,2,0.9,0.1,1.1,6,33,1,0,36,Matches,2019-2020,Watford
Kiko Femenía,es ESP,DF,28.0,24.9,988,1290,76.6,14191,5743,605,686,88.2,290,407,71.3,58,127,45.7,0,1.4,1.8,-1.4,18,52,27,15,85,Matches,2019-2020,Watford
Troy Deeney,eng ENG,FW,31.0,24.7,386,727,53.1,5100,1807,231,381,60.6,104,208,50.0,15,36,41.7,2,3.5,1.8,-1.5,29,51,20,1,81,Matches,2019-2020,Watford
Gerard Deulofeu,es ESP,FW,25.0,23.3,598,829,72.1,8395,2071,348,401,86.8,166,228,72.8,40,86,46.5,5,4.1,4.1,0.9,44,26,28,1,63,Matches,2019-2020,Watford
Ismaila Sarr,sn SEN,"FW,MF",21.0,22.5,420,594,70.7,5557,1437,264,314,84.1,100,168,59.5,21,41,51.2,4,4.5,3.2,-0.5,25,17,32,14,41,Matches,2019-2020,Watford
Adam Masina,ma MAR,DF,25.0,20.2,574,962,59.7,10202,5055,276,342,80.7,223,367,60.8,65,198,32.8,0,0.6,0.7,-0.6,11,53,13,11,73,Matches,2019-2020,Watford
Roberto Pereyra,ar ARG,"FW,MF",28.0,18.3,540,662,81.6,7482,1632,330,378,87.3,160,186,86.0,24,51,47.1,0,1.5,2.1,-1.5,20,33,12,4,48,Matches,2019-2020,Watford
Adrian Mariappa,jm JAM,DF,32.0,16.8,426,615,69.3,7151,3376,206,241,85.5,173,256,67.6,34,83,41.0,0,0.2,0.2,-0.2,4,35,3,3,38,Matches,2019-2020,Watford
José Holebas,gr GRE,DF,35.0,11.4,419,620,67.6,6747,3037,217,259,83.8,149,220,67.7,39,109,35.8,0,0.7,0.9,-0.7,11,31,9,5,51,Matches,2019-2020,Watford
Tom Cleverley,eng ENG,MF,29.0,10.8,369,467,79.0,5183,1761,227,241,94.2,93,126,73.8,24,59,40.7,0,0.7,1.0,-0.7,15,32,14,3,49,Matches,2019-2020,Watford
Nathaniel Chalobah,eng ENG,MF,24.0,10.3,261,370,70.5,3909,1172,142,181,78.5,87,106,82.1,18,44,40.9,1,1.3,0.8,-0.3,9,23,4,0,35,Matches,2019-2020,Watford
Danny Welbeck,eng ENG,"FW,MF",28.0,9.1,125,168,74.4,1459,320,80,101,79.2,34,45,75.6,2,3,66.7,0,0.2,0.2,-0.2,3,8,3,0,10,Matches,2019-2020,Watford
Andre Gray,jm JAM,FW,28.0,8.4,98,155,63.2,1184,282,64,86,74.4,16,28,57.1,5,9,55.6,0,1.8,0.8,-1.8,10,7,8,0,15,Matches,2019-2020,Watford
Daryl Janmaat,nl NED,DF,30.0,6.7,257,346,74.3,3745,1347,152,170,89.4,82,102,80.4,16,52,30.8,1,0.5,0.8,0.5,6,25,8,5,29,Matches,2019-2020,Watford
Dimitri Foulquier,fr FRA,"DF,MF",26.0,0.7,9,12,75.0,135,62,5,6,83.3,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,3,Matches,2019-2020,Watford
Sebastian Prödl,at AUT,DF,32.0,0.6,6,11,54.5,63,34,5,6,83.3,1,3,33.3,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2019-2020,Watford
Ignacio Pussetto,ar ARG,"FW,MF",23.0,0.8,20,36,55.6,299,116,13,17,76.5,4,8,50.0,2,8,25.0,0,0.0,0.1,0.0,0,1,1,0,3,Matches,2019-2020,Watford
Isaac Success,ng NGA,"FW,MF",23.0,0.8,14,20,70.0,149,26,7,11,63.6,4,6,66.7,0,0,,0,0.1,0.0,-0.1,1,0,2,0,2,Matches,2019-2020,Watford
João Pedro,br BRA,"FW,MF",17.0,0.3,8,12,66.7,118,21,4,4,100.0,4,5,80.0,0,1,0.0,0,0.0,0.3,0.0,0,0,1,1,1,Matches,2019-2020,Watford
Domingos Quina,pt POR,"MF,FW",19.0,0.2,10,10,100.0,120,30,7,7,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches,2019-2020,Watford
Squad Total,,,28.9,38.0,11230,15775,71.2,192764,78762,5578,6640,84.0,3901,5075,76.9,1244,2868,43.4,21,31.4,27.6,-10.4,303,848,253,69,1168,,2019-2020,Watford
Opponent Total,,,26.5,38.0,17002,21471,79.2,292652,98057,7916,9018,87.8,6938,8154,85.1,1603,3020,53.1,37,39.4,32.3,-2.4,354,1253,287,66,1654,,2019-2020,Watford
Neil Etheridge,ph PHI,GK,28.0,38.0,415,1202,34.5,21789,20502,5,8,62.5,50,56,89.3,359,1130,31.8,0,0.1,0.1,-0.1,2,65,0,0,0,Matches,2018-2019,Cardiff City
Bruno Ecuele Manga,ga GAB,DF,30.0,37.5,692,1097,63.1,13124,6461,288,363,79.3,285,430,66.3,98,236,41.5,1,0.4,0.6,0.6,6,71,7,2,102,Matches,2018-2019,Cardiff City
Sean Morrison,eng ENG,DF,27.0,33.8,528,911,58.0,10708,5515,167,261,64.0,262,364,72.0,83,239,34.7,3,3.7,2.8,-0.7,22,37,7,0,49,Matches,2018-2019,Cardiff City
Víctor Camarasa,es ESP,MF,24.0,28.5,710,1017,69.8,12178,3357,343,419,81.9,227,300,75.7,100,197,50.8,4,3.8,4.0,0.2,50,63,21,6,77,Matches,2018-2019,Cardiff City
Joe Bennett,eng ENG,DF,28.0,29.3,639,931,68.6,10057,5110,335,398,84.2,216,320,67.5,57,135,42.2,1,0.9,1.3,0.1,14,67,12,9,86,Matches,2018-2019,Cardiff City
Sol Bamba,ci CIV,DF,33.0,27.5,385,559,68.9,7809,3222,120,160,75.0,193,244,79.1,64,115,55.7,1,0.2,0.2,0.8,4,44,2,0,48,Matches,2018-2019,Cardiff City
Aron Gunnarsson,is ISL,MF,29.0,25.2,600,921,65.1,11209,4352,228,293,77.8,274,383,71.5,77,194,39.7,1,1.6,0.8,-0.6,16,67,10,2,85,Matches,2018-2019,Cardiff City
Harry Arter,ie IRL,MF,28.0,22.2,539,680,79.3,8935,2551,275,319,86.2,196,241,81.3,49,80,61.3,1,0.5,1.2,0.5,10,59,21,6,73,Matches,2018-2019,Cardiff City
Junior Hoilett,ca CAN,"MF,FW",28.0,23.8,338,537,62.9,4941,1706,202,242,83.5,80,132,60.6,31,93,33.3,1,1.5,1.7,-0.5,24,14,11,2,39,Matches,2018-2019,Cardiff City
Joe Ralls,eng ENG,MF,24.0,21.8,563,864,65.2,11256,4265,224,283,79.2,214,271,79.0,107,247,43.3,0,3.2,2.6,-3.2,33,106,11,4,111,Matches,2018-2019,Cardiff City
Josh Murphy,eng ENG,"MF,FW",23.0,20.2,203,391,51.9,3220,1224,108,142,76.1,60,112,53.6,22,74,29.7,2,3.9,2.8,-1.9,16,16,15,7,23,Matches,2018-2019,Cardiff City
Callum Paterson,sct SCO,"FW,MF",23.0,22.2,272,580,46.9,3936,1738,157,282,55.7,83,172,48.3,16,37,43.2,1,2.8,2.1,-1.8,23,50,16,3,68,Matches,2018-2019,Cardiff City
Lee Peltier,eng ENG,DF,31.0,17.2,274,443,61.9,4726,2187,117,163,71.8,113,171,66.1,27,65,41.5,0,0.1,0.2,-0.1,2,24,3,0,33,Matches,2018-2019,Cardiff City
Bobby Reid,jm JAM,"FW,MF",25.0,15.8,224,320,70.0,2888,662,137,167,82.0,54,78,69.2,10,24,41.7,2,1.2,1.0,0.8,16,15,7,0,23,Matches,2018-2019,Cardiff City
Oumar Niasse,sn SEN,FW,28.0,10.3,108,173,62.4,1401,297,65,86,75.6,25,38,65.8,5,8,62.5,0,0.6,0.5,-0.6,5,7,2,0,16,Matches,2018-2019,Cardiff City
Nathaniel Mendez-Laing,eng ENG,"MF,FW",26.0,10.9,169,287,58.9,2364,1016,92,129,71.3,44,70,62.9,14,27,51.9,1,1.5,1.6,-0.5,19,14,10,8,19,Matches,2018-2019,Cardiff City
Kenneth Zohore,dk DEN,FW,24.0,8.4,87,145,60.0,1073,204,52,74,70.3,20,32,62.5,4,5,80.0,1,1.1,1.0,-0.1,12,5,4,2,5,Matches,2018-2019,Cardiff City
Greg Cunningham,ie IRL,DF,27.0,7.0,157,220,71.4,2545,1152,79,96,82.3,58,76,76.3,14,32,43.8,0,0.2,0.2,-0.2,5,17,6,2,24,Matches,2018-2019,Cardiff City
Leandro Bacuna,cw CUW,MF,26.0,6.2,105,163,64.4,1847,753,57,71,80.3,33,52,63.5,12,27,44.4,0,0.1,0.1,-0.1,1,14,2,1,16,Matches,2018-2019,Cardiff City
Danny Ward,eng ENG,FW,26.0,4.9,50,94,53.2,731,168,33,56,58.9,13,22,59.1,2,2,100.0,0,0.3,0.1,-0.3,7,8,1,0,9,Matches,2018-2019,Cardiff City
Kadeem Harris,eng ENG,MF,25.0,4.2,66,104,63.5,954,204,41,58,70.7,19,26,73.1,4,9,44.4,0,0.4,0.3,-0.4,6,1,6,3,5,Matches,2018-2019,Cardiff City
Jazz Richards,wls WAL,"DF,MF",27.0,1.5,24,38,63.2,369,169,10,15,66.7,12,17,70.6,1,5,20.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches,2018-2019,Cardiff City
Rhys Healey,wls WAL,FW,23.0,0.6,4,14,28.6,83,58,2,5,40.0,1,4,25.0,1,3,33.3,0,0.1,0.0,-0.1,1,0,0,0,0,Matches,2018-2019,Cardiff City
Gary Madine,eng ENG,"FW,MF",27.0,0.4,10,12,83.3,137,46,4,5,80.0,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,2,1,0,3,Matches,2018-2019,Cardiff City
Loïc Damour,fr FRA,MF,27.0,0.3,8,12,66.7,220,22,2,2,100.0,3,5,60.0,3,3,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches,2018-2019,Cardiff City
Squad Total,,,27.7,38.0,7170,11715,61.2,138500,66941,3143,4097,76.7,2540,3622,70.1,1160,2987,38.8,20,27.6,25.4,-7.6,294,768,175,57,918,,2018-2019,Cardiff City
Opponent Total,,,26.7,38.0,17574,22088,79.6,287097,106936,8802,9958,88.4,6446,7742,83.3,1535,2833,54.2,53,43.4,37.4,9.6,439,1261,360,56,1723,,2018-2019,Cardiff City
Aleksandar Mitrović,rs SRB,FW,23.0,36.4,745,1042,71.5,9297,1661,478,620,77.1,185,255,72.5,22,36,61.1,3,3.2,1.9,-0.2,31,46,16,0,62,Matches,2018-2019,Fulham
Sergio Rico,es ESP,GK,24.0,29.0,517,889,58.2,19857,17992,53,54,98.1,179,182,98.4,284,649,43.8,0,0.1,0.1,-0.1,2,12,1,0,0,Matches,2018-2019,Fulham
Denis Odoi,gh GHA,DF,30.0,28.8,1161,1433,81.0,20435,7706,494,545,90.6,543,621,87.4,94,199,47.2,1,0.7,0.6,0.3,11,105,10,4,101,Matches,2018-2019,Fulham
Calum Chambers,eng ENG,"MF,DF",23.0,28.8,1175,1509,77.9,20289,6779,580,661,87.7,444,533,83.3,121,238,50.8,0,0.9,0.8,-0.9,16,114,14,0,158,Matches,2018-2019,Fulham
Joe Bryan,eng ENG,"DF,MF",24.0,26.1,915,1293,70.8,15199,6931,442,512,86.3,388,517,75.0,70,190,36.8,1,3.5,3.6,-2.5,24,79,22,15,118,Matches,2018-2019,Fulham
Jean Seri,ci CIV,MF,27.0,24.9,1427,1707,83.6,25102,7012,646,705,91.6,557,641,86.9,171,264,64.8,2,4.8,3.4,-2.8,57,125,28,9,164,Matches,2018-2019,Fulham
Ryan Sessegnon,eng ENG,"FW,DF",18.0,25.6,567,820,69.1,8572,2961,312,379,82.3,205,290,70.7,28,79,35.4,6,3.8,2.9,2.2,33,31,12,1,57,Matches,2018-2019,Fulham
Maxime Le Marchand,fr FRA,DF,28.0,25.0,1216,1488,81.7,22576,9761,477,511,93.3,598,691,86.5,117,217,53.9,1,0.7,0.7,0.3,9,61,6,3,77,Matches,2018-2019,Fulham
Tim Ream,us USA,DF,30.0,22.7,928,1064,87.2,16650,6230,344,367,93.7,507,560,90.5,63,102,61.8,0,0.1,0.2,-0.1,3,47,3,0,68,Matches,2018-2019,Fulham
Tom Cairney,sct SCO,"MF,FW",27.0,24.4,1244,1408,88.4,19804,3901,645,693,93.1,449,496,90.5,94,137,68.6,1,2.6,3.1,-1.6,40,120,30,4,169,Matches,2018-2019,Fulham
André Schürrle,de GER,"FW,MF",27.0,18.2,424,576,73.6,6291,1502,259,301,86.0,123,166,74.1,32,53,60.4,0,1.9,1.5,-1.9,19,28,20,5,57,Matches,2018-2019,Fulham
Cyrus Christie,ie IRL,"DF,MF",25.0,21.6,870,1210,71.9,13877,4803,441,502,87.8,369,497,74.2,44,142,31.0,1,1.2,1.6,-0.2,17,46,23,14,81,Matches,2018-2019,Fulham
Andre-Frank Zambo Anguissa,cm CMR,MF,22.0,16.9,913,1048,87.1,13982,4366,493,526,93.7,345,400,86.3,49,65,75.4,0,0.2,0.5,-0.2,7,100,6,1,112,Matches,2018-2019,Fulham
Ryan Babel,nl NED,"FW,MF",31.0,13.9,403,513,78.6,5974,1541,223,253,88.1,133,156,85.3,25,49,51.0,3,2.2,1.6,0.8,23,29,10,3,40,Matches,2018-2019,Fulham
Alfie Mawson,eng ENG,DF,24.0,12.6,393,482,81.5,8130,2970,124,141,87.9,209,234,89.3,56,95,58.9,0,0.1,0.0,-0.1,2,14,0,0,26,Matches,2018-2019,Fulham
Luciano Vietto,ar ARG,"FW,MF",24.0,11.0,316,411,76.9,4350,1046,199,232,85.8,87,110,79.1,11,28,39.3,4,2.1,1.8,1.9,22,21,13,5,35,Matches,2018-2019,Fulham
Kevin McDonald,sct SCO,MF,29.0,9.3,494,583,84.7,8643,2412,232,257,90.3,190,208,91.3,58,90,64.4,0,0.1,0.1,-0.1,4,39,0,0,41,Matches,2018-2019,Fulham
Timothy Fosu-Mensah,nl NED,DF,20.0,8.8,375,479,78.3,6600,2359,164,181,90.6,176,217,81.1,30,59,50.8,0,0.4,0.6,-0.4,6,24,5,2,39,Matches,2018-2019,Fulham
Marcus Bettinelli,eng ENG,GK,26.0,7.0,160,246,65.0,5388,4615,24,24,100.0,62,63,98.4,74,156,47.4,0,0.0,0.0,0.0,0,4,0,0,0,Matches,2018-2019,Fulham
Aboubakar Kamara,mr MTN,FW,23.0,7.7,170,248,68.5,2500,441,97,119,81.5,55,74,74.3,11,25,44.0,0,0.7,0.4,-0.7,10,6,3,1,6,Matches,2018-2019,Fulham
Stefan Johansen,no NOR,MF,27.0,4.6,202,261,77.4,3240,1190,116,134,86.6,59,74,79.7,20,34,58.8,0,0.1,0.2,-0.1,1,25,3,1,36,Matches,2018-2019,Fulham
Håvard Nordtveit,no NOR,DF,28.0,4.0,187,227,82.4,3855,1731,58,63,92.1,100,109,91.7,28,51,54.9,1,0.1,0.0,0.9,3,9,0,0,5,Matches,2018-2019,Fulham
Floyd Ayité,tg TOG,"FW,MF",29.0,5.3,156,200,78.0,2301,669,96,109,88.1,46,62,74.2,10,15,66.7,0,0.5,0.4,-0.5,9,14,6,1,23,Matches,2018-2019,Fulham
